display_name,normalized_name,occurrence_count,recipe_count,kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,quantity_examples,recipe_examples
Pinoli,pinoli,482,482,ingredient,unmatched,,,50 G (74) | 30 G (66) | 1 Cucchiaio (57) | 20 G (34) | 40 G (26),Acciughe In Saor | Agghiotta Di Pesce Spada (2) | Alici Affogate Nel Broccolo Romano | Alici Allinguate Su Caponata Al Miele | Alici Farcite Con Insalata
Formaggio Grana Grattugiato,formaggio grana grattugiato,470,468,ingredient,unmatched,,,50 G (47) | 2 Cucchiai (34) | 4 Cucchiai (33) | 60 G (21) | 40 G (20),Alette Di Pollo Ripiene Fritte | Anello Di Spinaci | Arancine Di Riso | Arancini Allo Speck | Arancini Farciti
Pepe Bianco,pepe bianco,468,453,ingredient,unmatched,,,1 Pizzico (40) | 1 Macinata (19) | Poco (7) | 10 Grani (6) | 3 Grani (5),Acciughe Al Pomodoro | Acciughe Alla Pizzaiola | Acciughe Crude Al Limone | Aguglie Arrostite | Alici Al Pomodoro
Panna Liquida,panna liquida,462,460,ingredient,unmatched,,,1/3 (29) | 2 Cucchiai (28) | 10 Cl (28) | 1 Bicchiere (27) | 1 Cucchiaio (27),17 Marzo | Adri | Alexandar The World | Alexander (8) | Alexander (9)
Scorza Di Limone,scorza di limone,456,455,ingredient,alias,Limone,limoni,1 (302) | 1 Spirale (31) | 1 Pezzetto (10) | 1 Spirale Lunga (6) | 1 Spruzzo (5),A. B. C. | Abc | Abissinia | Absinthe Cocktail (2) | Aceto Aromatico Per Insalate Con La Frutta
Zucchine,zucchine,443,443,ingredient,exact,Zucchine,,2 (123) | 4 (47) | 3 (40) | 500 G (30) | 300 G (27),Agnello Con Ratatouille Di Verdure | Anelli Siciliani In Zuppa Alla Piemontese | Antipasto Del Vegetariano | Antipasto Di Verdure (2) | Arrosto Aromatico
Prosciutto Cotto,prosciutto cotto,436,434,ingredient,unmatched,,,100 G (137) | 150 G (48) | 50 G (40) | 200 G (36) | 4 Fette (22),Abbraccio Di Mezze Maniche | Agnolotti Alla Piemontese (2) | Anatra Farcita Al Miele | Anello Al Prosciutto Con Salsa Di Funghi | Antipasto All'italiana
Menta,menta,420,406,ingredient,unmatched,,,Alcune Foglie (118) | 1 Rametto (31) | 1 Foglia (27) | 1 Ciuffo (16) | 10 Foglie (12),Aceto Alla Menta | Aceto Aromatico (5) | Aceto Aromatico Per Insalate | Aceto Dei 10 Aromi | Agnello Alle Olive
Maionese,maionese,406,403,ingredient,unmatched,,,1 Tazza (44) | 2 Cucchiai (27) | 100 G (21) | 1/2 Tazza (13) | 150 G (13),Ananas En Sauce D'avocat | Ananas In Salsa D'avocado | Antipasti Di Scampi | Antipasto Al Tartufo | Antipasto Alla Francese
Vermouth Dry,vermouth dry,404,404,ingredient,unmatched,,,1/4 (80) | 1/3 (74) | 1/6 (37) | 1/5 (35) | 1/2 (25),A. B. C. | Abc | Accordion | Affinity | Affinity (2)
Farina Bianca,farina bianca,393,385,ingredient,unmatched,,,100 G (30) | 200 G (30) | 250 G (29) | 150 G (25) | 500 G (18),Amaretti Morbidi (2) | Andrevi | Anelli Di Patate E Spinaci | Apfelpfannkuchen | Arrosto Di Vitello Ai Funghi
Formaggio Grattugiato,formaggio grattugiato,391,388,ingredient,unmatched,,,50 G (37) | 2 Cucchiai (30) | 40 G (23) | 1 Cucchiaio (22) | Abbondante (19),Acciughe Ripiene (2) | Agnolotti Alla Piemontese (2) | Anello Di Patate E Cavolfiore | Arancini Di Riso | Arancini Di Riso (2)
Cointreau,cointreau,368,367,ingredient,unmatched,,,2/10 (47) | 1/3 (45) | 1/4 (43) | 3/10 (30) | 1/6 (27),1908 | 333 | A B C (amici Bevete Cointreau) | Absoluto | Acapulco (5)
Vino Rosso,vino rosso,366,366,ingredient,unmatched,,,1 Bicchiere (77) | 1/2 Bicchiere (40) | 100 Cl (40) | 50 Cl (22) | 25 Cl (16),4 Luglio | Aceto Ai Lamponi (4) | Aceto Rosso | Aceto Rosso Schiarito | Agnello All'aceto Balsamico Tradizionale
Panna Montata,panna montata,359,353,ingredient,unmatched,,,200 G (19) | 25 Cl (18) | 2 Cucchiai (16) | 100 G (15) | 50 Cl (14),Alba (3) | Ananas Con Crema Di Banane | Ananas Con La Panna | Aragosta Alle Due Salse | Arance Alla Panna
Chiodi Di Garofano,chiodi di garofano,358,356,ingredient,unmatched,,,2 (112) | 3 (45) | 4 (33) | 6 (18) | Alcuni (16),Aceto Agli Aromi Misti | Aceto Ai 5 Fiori | Aceto Ai Fichi Secchi | Aceto Al Rafano E Scalogno | Aceto Alla Cipolla
Vodka,vodka,352,351,ingredient,unmatched,,,1/3 (33) | 1 Bicchierino (24) | 2/4 (24) | 3/4 (24) | 1/4 (19),57 Chevy | Accordo | Adriatico | Alfonso Red | Alibabà
Scalogno,scalogno,348,348,ingredient,unmatched,,,1 (276) | 1/2 (19) | 50 G (6) | 30 G (5) | 80 G (3),Aceto Agli Aromi | Aceto Agli Aromi Misti | Aceto Al Rafano E Scalogno | Aceto Alla Liquirizia E Ibiscus | Aceto Alla Menta (5)
Aceto Di Vino Bianco,aceto di vino bianco,346,346,ingredient,unmatched,,,100 Cl (49) | 2 Cucchiai (35) | 1 Cucchiaio (27) | 50 Cl (22) | 1/2 Bicchiere (19),Abbacchio Alla Cacciatora (2) | Abbacchio Alla Cacciatora (4) | Abbacchio Alla Romana (2) | Abbacchio Alla Romana (3) | Acciughe Alla Povera (2)
Angostura,angostura,344,344,ingredient,unmatched,,,1 Spruzzo (139) | 2 Gocce (48) | 2 Spruzzi (42) | 4 Gocce (24) | 1 Goccia (19),Abate | Absinthe Cocktail | Adone | Affinity | Affinity (2)
Cioccolato Fondente,cioccolato fondente,341,331,ingredient,unmatched,,,100 G (78) | 150 G (53) | 200 G (48) | 50 G (29) | 250 G (20),Affogato Al Kiwi | Affogato Alla Banana | Affogato Alla Banana (2) | Alberello Di Ricotta Con Agrumi E Fondente | Anguria In Coppa
Mozzarella,mozzarella,338,338,ingredient,unmatched,,,1 (85) | 200 G (44) | 100 G (35) | 250 G (31) | 150 G (29),A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Antipasto Estivo (2) | Arancini Alla Palermitana
Limoni,limoni,337,337,ingredient,alias,Limone,limoni,2 (227) | 3 (43) | 4 (17) | 6 (14) | 5 (9),Acciughe Alle Olive | Acciughe Marinate | Acciughe Marinate (2) | Acciughe Olio E Limone | Acciughe Ripiene (2)
Albumi D'uovo,albumi d uovo,336,335,ingredient,unmatched,,,2 (130) | 3 (68) | 4 (54) | 6 (26) | 5 (24),Alberelli Di Mandorle | Albumi A Neve Con Il Bimby | Amaretti | Amaretti (2) | Amaretti (4)
Pancetta,pancetta,333,331,ingredient,unmatched,,,50 G (95) | 100 G (71) | 150 G (15) | 30 G (15) | 60 G (13),Agnello Alla Valtellinese | Agnolini In Brodo | Alzavole Allo Spiedo | Anatra Ai Funghi | Anatra Con Crauti
Pasta Tipo Spaghetti,pasta tipo spaghetti,328,328,ingredient,unmatched,,,400 G (110) | 350 G (60) | 500 G (41) | 300 G (22) | 320 G (19),Bigoli Con Le Sardelle | Carbonara Con Zucchine | Carbonara Speciale | Cartoccio Del Marinaio | Falsa Granceola Alla Triestina
Miele,miele,327,327,ingredient,exact,Miele,,1 Cucchiaio (45) | 2 Cucchiai (34) | 1 Cucchiaino (20) | 4 Cucchiai (15) | 100 G (15),Aceto Al Miele | Albicocche Con Gelato Di Vaniglia | Alfajores | Ali Di Pollo Alla Cinese | Alici Allinguate Su Caponata Al Miele
Olive Nere,olive nere,326,326,ingredient,unmatched,,,100 G (50) | 50 G (43) | 10 (19) | 150 G (16) | 12 (13),Agnello Alla Cacciatora | Aguglia Alla Sicula | Aguglie Alla Siciliana | Alici Allinguate Su Caponata Al Miele | Alici Farcite Con Insalata
Per Completare:,per completare,324,324,section-label,section-label,,,,Abricot Tropicale | Afternoon Cocktail | Alleluia | Alto (2) | Alto (3)
Carciofi,carciofi,321,320,ingredient,unmatched,,,4 (75) | 2 (55) | 8 (48) | 6 (47) | 3 (27),"Agnello Con Carciofi | Agnello Con Carciofi (2) | Agnello Con Carciofi In Fricassea | Agnello Con Patate, Carciofi E Patate | Aliciotti Con Carciofi"
Vaniglia,vaniglia,316,313,ingredient,unmatched,,,1 Stecca (89) | 1 Bustina (43) | 1 Baccello (40) | 1/2 Stecca (24) | 1 Cucchiaino (9),Alchermes | Anello Caramellato | Angelica | Arance Ripiene Di Crema | Base Per Gelati Alla Vaniglia E Alla Crema
Senape,senape,313,313,ingredient,unmatched,,,1 Cucchiaio (78) | 1 Cucchiaino (76) | 2 Cucchiai (29) | 2 Cucchiaini (18) | 1/2 Cucchiaino (11),Aceto Di Cognac Fatto In Casa | Antipasto Alla Francese | Antipasto Di Avocado | Antipasto Di Pesce Crudo | Antipasto Di Pomodori Alla Valacca
Ghiaccio,ghiaccio,311,311,ingredient,unmatched,,,4 Cubetti (74) | 5 Cubetti (51) | 3 Cubetti (31) | 2 Cubetti (23) | Alcuni Cubetti (21),Adonis (3) | Affinity (5) | After Dinner | Alaska (5) | Alberto Sordi
Formaggio Pecorino Grattugiato,formaggio pecorino grattugiato,308,308,ingredient,unmatched,,,50 G (40) | 100 G (32) | 2 Cucchiai (25) | 70 G (16) | 4 Cucchiai (13),Antipasto Di Bianchetti | Arancini Di Risu O' Ragù | Bavette Al Pesto Di Broccoli Siciliani | Braciole Di Vitello | Braciolette Di Alici
Pancarré,pancarre,307,307,ingredient,unmatched,,,4 Fette (61) | 8 Fette (45) | 2 Fette (34) | Alcune Fette (26) | 6 Fette (20),"Acciughe Alla Siciliana | Albicocche Al Tegamino | Anguilla In Foglie Di Vite | Antipasto Di Caviale | Antipasto Di Sedano, Noci E Formaggio"
Pomodori Maturi,pomodori maturi,299,299,ingredient,unmatched,,,2 (62) | 4 (45) | 400 G (29) | 500 G (29) | 3 (29),Acciughe Alla Siciliana | Agghiotta Di Pesce Spada (2) | Alici Alla Silvana | Anatra Al Rosso | Anguilla Ai Peperoni
Zucchero Semolato,zucchero semolato,286,273,ingredient,unmatched,,,100 G (36) | 150 G (22) | 50 G (21) | 200 G (20) | 125 G (13),Alberelli Di Mandorle | Amandin Con Mandorle E Arance | Anguria Al Cognac | Apfelpfannkuchen | Aspic Di Frutta Di Sottobosco
